index	chrom	start	end	strand	contains_unk	Adipose|ATAC|None	Adipose|E10|None	Adipose|E11|None	Adipose|E12|None	Adipose|E13|None	Adipose|E14|None	Adipose|E15|None	Adipose|E1|None	Adipose|E2|None	Adipose|E3|None
24	chr9	120665297	120665298	.	False	1.39e-02	1.09e-01	4.20e-03	8.98e-04	1.40e-02	5.61e-02	5.58e-01	1.12e-03	3.61e-02	1.46e-03
25	chr1	240142757	240142758	.	False	4.95e-01	1.86e-02	1.80e-01	2.11e-02	6.62e-02	9.62e-03	3.47e-02	3.22e-03	1.08e-03	1.16e-01
26	chr1	267420191	267420192	.	False	6.29e-02	7.08e-02	4.56e-02	5.08e-04	2.85e-02	1.52e-01	6.24e-01	5.47e-04	6.66e-04	1.58e-03
27	chr1	203354398	203354399	.	False	1.73e-02	1.00e-01	5.96e-03	3.70e-04	1.98e-02	1.46e-01	7.68e-01	2.93e-04	1.24e-03	5.98e-04
28	chr1	239877891	239877892	.	False	1.87e-01	1.31e-01	1.10e-01	1.81e-03	3.60e-02	1.38e-01	3.47e-01	1.27e-03	1.20e-03	1.40e-02
29	chr1	244328592	244328593	.	False	7.16e-04	2.43e-02	3.27e-04	1.34e-04	6.48e-03	3.49e-02	9.05e-01	1.03e-04	3.37e-03	1.69e-04
30	chr1	256202774	256202775	.	False	4.04e-02	3.13e-02	1.99e-02	4.84e-04	4.45e-02	1.98e-01	6.97e-01	2.02e-04	5.23e-04	2.47e-04
31	chr1	267787010	267787011	.	False	2.43e-01	1.85e-02	2.26e-01	1.50e-02	2.43e-01	8.48e-02	1.42e-01	2.77e-03	1.68e-03	1.39e-02
32	chr1	237568922	237568923	.	False	2.80e-01	8.73e-02	1.38e-01	3.41e-03	7.75e-02	1.47e-01	2.15e-01	1.78e-03	1.05e-03	2.41e-02
33	chr1	240614157	240614158	.	False	4.50e-01	1.52e-02	4.37e-01	6.36e-03	8.92e-02	1.95e-02	4.63e-02	2.20e-03	6.09e-04	3.50e-02
34	chr1	272566996	272566997	.	False	2.56e-01	1.69e-03	3.57e-01	4.33e-02	3.60e-01	1.21e-02	2.32e-02	1.88e-03	6.41e-04	1.28e-02
35	chr1	216764767	216764768	.	False	4.43e-04	1.86e-02	1.75e-04	1.03e-04	3.35e-03	2.30e-02	9.41e-01	7.63e-05	2.12e-03	7.47e-05
36	chr9	130425719	130425720	.	False	1.22e-02	1.41e-01	2.78e-03	5.43e-04	1.09e-02	4.67e-02	6.87e-01	4.46e-04	1.82e-02	6.15e-04
37	chr1	204662028	204662029	.	False	4.80e-04	5.11e-03	1.05e-04	4.93e-05	4.04e-03	4.50e-02	9.45e-01	6.96e-05	3.64e-04	3.42e-05
38	chr1	198084860	198084861	.	False	5.39e-03	3.59e-02	1.49e-03	2.70e-04	1.36e-02	7.57e-02	8.55e-01	2.61e-04	1.35e-03	3.71e-04
39	chr1	218894184	218894185	.	False	3.29e-03	4.77e-03	1.38e-03	6.11e-05	9.51e-03	1.37e-01	8.50e-01	4.14e-05	2.49e-04	3.34e-05
40	chr1	261720969	261720970	.	False	3.22e-01	2.63e-02	2.62e-01	2.04e-02	1.74e-01	3.34e-02	5.66e-02	2.54e-03	1.30e-03	4.99e-02
41	chr1	203094748	203094749	.	False	2.73e-02	1.57e-01	1.02e-02	4.20e-03	6.33e-02	2.17e-01	4.57e-01	1.06e-03	4.66e-03	2.32e-03
42	chr1	217888990	217888991	.	False	6.22e-03	1.05e-01	2.75e-03	2.21e-03	3.49e-02	9.24e-02	5.74e-01	9.14e-04	1.47e-02	9.29e-04
43	chr9	134874589	134874590	.	False	1.22e-01	1.44e-01	3.86e-02	1.19e-03	1.83e-02	1.22e-01	5.24e-01	2.08e-03	2.98e-03	8.33e-03
44	chr9	63895671	63895672	.	False	1.42e-02	3.67e-02	7.78e-03	8.32e-04	3.47e-02	1.55e-01	7.68e-01	3.82e-04	9.79e-04	6.24e-04
45	chr5	19331631	19331632	.	False	3.12e-01	1.77e-02	3.21e-01	2.49e-02	3.90e-01	4.28e-02	3.74e-02	3.16e-03	2.03e-03	4.51e-02
46	chr9	124651109	124651110	.	False	5.01e-03	3.34e-02	1.14e-03	2.07e-04	1.01e-02	6.38e-02	8.74e-01	2.24e-04	1.79e-03	2.65e-04
47	chr9	65217505	65217506	.	False	3.09e-02	1.03e-01	7.13e-03	1.61e-03	1.52e-02	6.69e-02	5.93e-01	2.80e-03	1.16e-02	3.16e-03
48	chr9	133483943	133483944	.	False	9.47e-02	5.73e-02	1.69e-01	3.51e-03	1.09e-01	1.42e-01	2.91e-01	2.03e-03	2.35e-03	1.79e-02
49	chr1	262523470	262523471	.	False	9.79e-03	2.14e-02	3.74e-03	2.99e-04	1.87e-02	1.35e-01	8.17e-01	2.10e-04	4.02e-04	3.50e-04
50	chr1	257403005	257403006	.	False	1.31e-01	2.79e-02	5.59e-02	2.10e-03	9.78e-02	2.31e-01	5.67e-01	8.11e-04	9.54e-04	1.70e-03
51	chr1	235328639	235328640	.	False	1.23e-02	9.64e-02	4.12e-03	4.42e-04	1.68e-02	1.45e-01	7.20e-01	3.78e-04	1.97e-03	1.33e-03
52	chr9	117276213	117276214	.	False	8.29e-02	7.41e-02	2.51e-02	5.99e-03	1.48e-01	2.28e-01	3.95e-01	1.83e-03	4.34e-03	7.71e-03
53	chr9	115199581	115199582	.	False	8.86e-03	1.67e-02	2.87e-03	3.00e-04	2.47e-02	1.71e-01	7.55e-01	2.99e-04	9.74e-04	3.90e-04
54	chr1	245128606	245128607	.	False	3.77e-03	6.24e-03	5.47e-04	5.85e-05	3.78e-03	4.98e-02	9.28e-01	6.35e-05	1.13e-03	2.30e-05
55	chr1	226012294	226012295	.	False	6.35e-03	1.27e-02	2.94e-03	6.86e-05	1.82e-02	2.00e-01	7.90e-01	4.13e-05	3.41e-04	2.95e-05
56	chr1	239646702	239646703	.	False	1.39e-01	6.00e-02	1.08e-01	1.94e-03	8.49e-02	1.46e-01	4.51e-01	1.22e-03	1.17e-03	1.06e-02
57	chr1	248070320	248070321	.	False	5.93e-02	1.84e-01	2.09e-02	3.96e-03	5.62e-02	1.49e-01	3.11e-01	3.71e-03	3.10e-02	8.15e-03
58	chr1	228906232	228906233	.	False	2.10e-01	9.44e-02	1.77e-01	1.88e-03	7.05e-02	1.19e-01	2.28e-01	6.90e-04	6.69e-04	7.07e-03
59	chr1	221797473	221797474	.	False	1.69e-02	5.44e-02	5.83e-03	1.43e-03	3.09e-02	2.14e-01	6.94e-01	1.59e-03	3.75e-03	1.26e-03
60	chr1	208172501	208172502	.	False	6.14e-04	1.10e-02	1.82e-04	1.67e-04	5.80e-03	3.67e-02	9.24e-01	2.06e-04	2.64e-03	1.26e-04
61	chr1	201246884	201246885	.	False	2.67e-02	6.63e-02	1.22e-02	3.75e-04	1.02e-02	9.31e-02	7.06e-01	1.15e-03	1.06e-02	8.67e-04
62	chr9	123923364	123923365	.	False	3.19e-01	4.31e-02	2.50e-01	1.32e-02	1.33e-01	6.06e-02	9.72e-02	2.63e-03	1.24e-03	3.36e-02
63	chr1	267202262	267202263	.	False	3.44e-01	8.31e-03	2.42e-01	2.95e-02	3.66e-01	2.79e-02	1.49e-02	1.35e-03	5.76e-04	3.45e-02
64	chr1	247318818	247318819	.	False	1.37e-03	1.00e-02	8.68e-04	3.47e-04	1.85e-02	1.66e-01	8.18e-01	1.87e-04	1.67e-03	1.55e-04
65	chr9	134338035	134338036	.	False	2.28e-01	1.99e-02	1.41e-01	4.12e-02	2.89e-01	8.06e-02	9.46e-02	2.10e-02	4.58e-03	1.54e-02
66	chr1	215546232	215546233	.	False	2.59e-02	6.94e-02	6.39e-03	3.91e-04	1.39e-02	7.16e-02	8.03e-01	3.06e-04	1.46e-03	1.22e-03
67	chr1	272221503	272221504	.	False	2.31e-01	1.11e-02	2.26e-01	3.21e-02	4.40e-01	7.95e-02	8.96e-02	1.41e-03	1.06e-03	8.64e-03
68	chr1	255609817	255609818	.	False	1.05e-02	2.60e-01	1.55e-03	6.82e-04	8.03e-03	4.21e-02	5.78e-01	1.09e-03	1.15e-02	3.87e-03
69	chr9	56566324	56566325	.	False	7.11e-02	7.53e-02	8.47e-02	2.13e-03	1.28e-01	3.33e-01	3.83e-01	7.78e-04	2.51e-03	5.69e-04
70	chr1	271167641	271167642	.	False	3.88e-02	1.09e-01	6.59e-03	3.35e-04	6.55e-03	4.61e-02	6.51e-01	7.17e-04	1.46e-02	5.46e-04
71	chr9	117909088	117909089	.	False	1.86e-01	2.03e-02	4.13e-01	5.23e-03	2.50e-01	8.47e-02	1.18e-01	6.88e-04	6.32e-04	5.17e-03
72	chr1	268336298	268336299	.	False	2.74e-01	1.53e-02	1.45e-01	2.60e-02	1.05e-01	1.49e-02	3.09e-02	2.04e-02	3.18e-03	2.17e-01
73	chr9	66523453	66523454	.	False	5.56e-02	4.80e-02	5.97e-02	6.40e-04	4.93e-02	2.07e-01	5.02e-01	5.81e-04	6.26e-04	1.05e-03
74	chr5	21390928	21390929	.	False	2.07e-01	7.22e-02	8.61e-02	8.04e-03	6.61e-02	6.73e-02	3.41e-01	1.25e-02	1.17e-02	1.27e-01
75	chr1	254118562	254118563	.	False	4.77e-01	1.38e-03	3.66e-01	1.15e-02	7.05e-02	1.63e-03	4.55e-03	1.12e-03	2.37e-04	6.11e-02
76	chr9	66859807	66859808	.	False	9.85e-02	7.72e-02	1.51e-01	1.08e-02	1.22e-01	1.48e-01	2.97e-01	3.86e-03	4.29e-03	1.40e-02
77	chr1	229800557	229800558	.	False	2.68e-02	2.14e-01	1.81e-02	1.14e-03	2.89e-02	1.23e-01	4.65e-01	1.11e-03	3.46e-03	3.70e-03
78	chr1	270024218	270024219	.	False	2.70e-01	8.71e-04	3.20e-01	8.79e-02	3.55e-01	3.57e-03	6.58e-03	2.33e-03	7.22e-04	2.09e-02
79	chr9	132307629	132307630	.	False	5.82e-01	3.92e-03	4.00e-01	1.43e-02	3.28e-01	3.75e-02	5.62e-02	7.56e-04	3.39e-04	6.57e-03
80	chr1	236253391	236253392	.	False	5.52e-02	3.27e-02	5.30e-02	3.58e-03	1.18e-01	1.44e-01	4.78e-01	1.07e-03	1.61e-03	5.53e-03
81	chr9	128710489	128710490	.	False	1.47e-01	6.77e-02	1.05e-01	3.70e-03	1.23e-01	2.14e-01	4.24e-01	2.03e-03	2.20e-03	1.02e-02
82	chr9	128383629	128383630	.	False	4.00e-03	1.00e-01	1.01e-03	4.28e-04	1.07e-02	8.99e-02	7.85e-01	4.50e-04	7.60e-03	7.23e-04
83	chr1	246532727	246532728	.	False	2.21e-02	2.70e-02	8.27e-03	9.40e-05	1.70e-02	1.57e-01	7.40e-01	8.30e-05	3.54e-04	8.28e-05
84	chr1	259816064	259816065	.	False	1.03e-02	5.04e-02	3.15e-03	1.40e-03	3.99e-02	1.80e-01	6.77e-01	1.19e-03	3.10e-03	1.55e-03
85	chr17	27424	27425	.	False	3.53e-03	2.27e-02	1.32e-03	1.46e-04	9.73e-03	8.46e-02	8.54e-01	1.21e-04	9.25e-04	1.52e-04
86	chr1	207379052	207379053	.	False	1.33e-02	8.87e-02	3.25e-03	4.44e-04	2.33e-02	1.29e-01	7.62e-01	3.59e-04	1.27e-03	6.98e-04
87	chr1	212172596	212172597	.	False	3.46e-03	3.62e-03	4.66e-04	1.08e-04	2.28e-03	3.14e-02	9.49e-01	8.94e-05	3.87e-04	6.20e-05
88	chr1	242370353	242370354	.	False	9.09e-02	1.25e-01	1.53e-02	1.59e-03	1.83e-02	1.05e-01	6.72e-01	1.15e-03	3.67e-03	4.62e-03
89	chr9	132455705	132455706	.	False	2.43e-02	9.01e-02	2.10e-02	3.62e-03	1.18e-01	2.67e-01	4.54e-01	1.10e-03	7.29e-03	1.31e-03
90	chr1	246296900	246296901	.	False	7.44e-02	1.46e-01	1.64e-02	3.96e-03	4.04e-02	1.28e-01	4.74e-01	4.24e-03	1.20e-02	1.29e-02
91	chr1	220015818	220015819	.	False	2.28e-03	3.15e-02	7.86e-04	4.39e-04	8.23e-03	5.07e-02	8.76e-01	3.52e-04	3.77e-03	7.68e-04
92	chr9	134935920	134935921	.	False	2.11e-01	2.89e-02	2.15e-01	6.24e-03	3.61e-01	1.91e-01	1.32e-01	5.88e-04	7.57e-04	2.30e-03
93	chr1	255720042	255720043	.	False	2.25e-02	2.91e-02	7.30e-03	4.40e-04	3.29e-02	2.70e-01	6.88e-01	3.49e-04	9.85e-04	2.56e-04
94	chr1	258507996	258507997	.	False	2.02e-03	4.27e-02	7.53e-04	3.64e-04	9.76e-03	6.58e-02	8.73e-01	2.86e-04	6.34e-03	1.94e-04
95	chr1	240003176	240003177	.	False	3.50e-01	2.10e-02	2.92e-01	1.29e-02	9.62e-02	2.56e-02	1.12e-01	4.12e-03	2.50e-03	1.31e-01
96	chr9	119088351	119088352	.	False	5.64e-01	3.16e-03	6.31e-01	4.23e-03	1.48e-01	3.64e-02	6.59e-02	3.55e-04	2.54e-04	6.86e-03
97	chr1	246531797	246531798	.	False	1.18e-03	6.96e-03	4.18e-04	6.78e-05	5.68e-03	1.03e-01	8.91e-01	8.16e-05	5.22e-04	5.02e-05
98	chr1	212556793	212556794	.	False	1.02e-03	1.20e-02	2.29e-04	7.18e-05	3.78e-03	2.74e-02	9.49e-01	9.11e-05	5.28e-04	9.06e-05
99	chr13	177191448	177191449	.	False	3.92e-03	1.16e-02	3.05e-03	4.16e-04	1.94e-02	1.45e-01	7.66e-01	5.60e-04	1.67e-03	2.09e-04
100	chr1	250325103	250325104	.	False	1.62e-01	5.32e-02	2.33e-01	6.53e-03	1.97e-01	1.25e-01	1.20e-01	4.65e-03	3.49e-03	3.61e-02
101	chr1	232955066	232955067	.	False	1.96e-03	6.95e-02	7.35e-04	3.99e-04	1.15e-02	6.70e-02	7.95e-01	2.83e-04	9.29e-03	3.76e-04
102	chr1	240836648	240836649	.	False	1.40e-01	4.02e-02	1.39e-01	6.33e-04	5.50e-02	2.13e-01	5.84e-01	3.26e-04	3.62e-04	7.10e-04
103	chr9	114823712	114823713	.	False	6.81e-03	8.60e-02	2.09e-03	5.32e-04	2.23e-02	9.92e-02	8.04e-01	3.92e-04	2.05e-03	6.63e-04
104	chr1	212283138	212283139	.	False	6.03e-03	7.21e-03	5.40e-04	5.65e-05	1.51e-03	1.91e-02	9.62e-01	8.88e-05	5.56e-04	5.27e-05
105	chr1	239108078	239108079	.	False	2.14e-01	5.60e-02	2.00e-01	5.77e-03	1.08e-01	9.42e-02	2.12e-01	1.37e-03	1.14e-03	1.67e-02
106	chr9	134414619	134414620	.	False	4.93e-02	6.56e-02	6.84e-03	6.72e-04	1.76e-02	1.58e-01	7.05e-01	7.81e-04	2.26e-03	1.41e-03
107	chr1	199555485	199555486	.	False	2.48e-04	1.34e-03	5.28e-05	1.75e-05	6.83e-04	1.95e-02	9.84e-01	1.78e-05	3.87e-04	8.55e-06
108	chr1	217405655	217405656	.	False	5.05e-02	1.61e-01	1.52e-02	1.18e-03	1.51e-02	9.52e-02	6.66e-01	7.79e-04	2.91e-03	2.68e-03
109	chr9	134915497	134915498	.	False	3.54e-01	5.50e-02	1.23e-01	1.92e-02	4.51e-02	1.49e-02	4.32e-02	1.62e-02	4.12e-03	1.37e-01
110	chr1	264399006	264399007	.	False	1.75e-01	1.76e-01	4.28e-02	1.92e-03	1.79e-02	8.23e-02	3.86e-01	2.06e-03	2.68e-03	1.75e-02
111	chr1	208508145	208508146	.	False	5.22e-03	4.71e-02	1.79e-03	7.60e-04	1.78e-02	7.09e-02	7.82e-01	6.68e-04	3.53e-03	1.43e-03
112	chr1	229273873	229273874	.	False	6.42e-03	3.34e-02	1.79e-03	4.23e-04	2.79e-02	1.41e-01	8.02e-01	2.68e-04	8.92e-04	3.30e-04
113	chr1	200039814	200039815	.	False	5.08e-04	1.33e-03	1.27e-04	4.44e-05	1.31e-03	4.20e-02	9.55e-01	3.61e-05	5.22e-04	1.37e-05
114	chr1	264852864	264852865	.	False	3.08e-02	4.71e-02	4.29e-02	2.09e-03	1.89e-01	3.52e-01	3.78e-01	4.18e-04	3.08e-03	7.59e-04
115	chr9	115420586	115420587	.	False	4.10e-04	2.15e-03	1.32e-04	5.03e-05	5.41e-03	1.09e-01	8.76e-01	4.37e-05	4.21e-04	1.76e-05
116	chr9	128636673	128636674	.	False	2.73e-02	2.52e-02	7.42e-03	7.62e-04	1.15e-02	9.03e-02	8.43e-01	2.10e-03	3.73e-03	1.62e-03
117	chr1	213939822	213939823	.	False	2.96e-02	1.68e-01	4.13e-03	1.24e-03	2.37e-02	1.01e-01	6.61e-01	8.34e-04	3.88e-03	2.51e-03
118	chr1	243276464	243276465	.	False	2.23e-02	3.69e-02	6.13e-03	1.84e-04	1.42e-02	1.31e-01	7.98e-01	6.06e-05	2.46e-04	1.13e-04
119	chr1	224935837	224935838	.	False	2.74e-03	4.18e-02	1.11e-03	2.76e-04	1.22e-02	8.96e-02	7.95e-01	1.08e-04	2.15e-03	1.64e-04
120	chr1	254789512	254789513	.	False	4.46e-01	1.13e-02	2.56e-01	1.05e-02	5.28e-02	8.05e-03	2.16e-02	4.54e-03	7.38e-04	1.16e-01
121	chr1	260772172	260772173	.	False	5.12e-02	5.19e-02	4.31e-02	1.28e-03	1.12e-01	2.86e-01	4.62e-01	3.20e-04	6.52e-04	8.23e-04
122	chr9	126460499	126460500	.	False	3.37e-03	6.86e-02	2.62e-03	3.83e-04	2.37e-02	1.08e-01	6.94e-01	1.90e-04	7.25e-03	2.55e-04
123	chr1	240816652	240816653	.	False	6.99e-02	3.19e-02	5.32e-02	2.84e-03	1.65e-01	2.51e-01	4.68e-01	1.06e-03	1.04e-03	2.23e-03
124	chr1	205914317	205914318	.	False	2.41e-02	8.70e-02	3.35e-03	7.73e-04	8.28e-03	5.38e-02	6.58e-01	4.14e-03	7.31e-03	6.17e-03
125	chr9	131415845	131415846	.	False	4.43e-02	3.65e-02	5.04e-02	5.95e-03	2.53e-01	3.08e-01	3.38e-01	2.54e-03	3.38e-03	2.39e-03
126	chr9	127280155	127280156	.	False	1.40e-02	2.71e-02	7.30e-03	2.74e-04	6.96e-03	8.76e-02	8.77e-01	3.09e-04	6.84e-04	5.46e-04
127	chr9	128956839	128956840	.	False	2.08e-01	3.94e-02	8.80e-02	2.58e-03	7.62e-02	1.99e-01	4.98e-01	1.71e-03	1.70e-03	1.02e-02
128	chr1	226030853	226030854	.	False	2.33e-01	8.26e-02	8.35e-02	4.65e-03	1.12e-01	1.07e-01	4.29e-01	8.05e-04	1.18e-03	7.55e-03
129	chr1	207827538	207827539	.	False	5.79e-02	1.88e-01	1.20e-02	5.67e-04	1.06e-02	1.13e-01	4.86e-01	1.82e-03	4.64e-03	9.39e-03
130	chr9	115118140	115118141	.	False	5.52e-03	2.29e-02	1.05e-03	1.96e-04	1.11e-02	9.23e-02	8.67e-01	2.13e-04	6.14e-04	2.47e-04
131	chr1	206463177	206463178	.	False	3.05e-01	6.90e-02	1.18e-01	4.86e-03	5.43e-02	5.06e-02	7.78e-02	2.04e-03	1.31e-03	4.13e-02
132	chr1	248079423	248079424	.	False	1.77e-02	2.64e-02	6.99e-03	2.65e-03	7.63e-02	2.19e-01	6.57e-01	1.37e-03	4.50e-03	1.30e-03
133	chr1	260093722	260093723	.	False	5.39e-02	1.33e-01	3.05e-02	1.59e-03	7.58e-02	2.72e-01	4.14e-01	9.86e-04	2.70e-03	1.70e-03
134	chr1	235190378	235190379	.	False	6.27e-04	1.38e-02	2.55e-04	1.01e-04	4.70e-03	4.67e-02	9.31e-01	6.97e-05	8.51e-04	5.08e-05
135	chr9	119501284	119501285	.	False	2.44e-01	1.00e-01	8.63e-02	6.30e-03	7.58e-02	7.28e-02	1.68e-01	3.08e-03	2.11e-03	4.51e-02
136	chr9	125408908	125408909	.	False	1.75e-01	3.37e-02	1.85e-01	3.81e-03	1.54e-01	1.79e-01	3.07e-01	1.74e-03	1.42e-03	5.27e-03
137	chr1	240622636	240622637	.	False	4.40e-01	2.88e-02	3.75e-01	7.44e-03	1.48e-01	4.44e-02	6.45e-02	1.92e-03	8.19e-04	4.28e-02
138	chr9	114981423	114981424	.	False	2.51e-03	8.63e-02	7.40e-04	8.78e-05	4.14e-03	3.88e-02	8.68e-01	8.53e-05	1.21e-03	1.45e-04
139	chr9	128496259	128496260	.	False	7.14e-03	9.92e-02	2.15e-03	5.32e-04	1.41e-02	8.80e-02	7.80e-01	4.75e-04	4.21e-03	4.92e-04
140	chr1	235165214	235165215	.	False	4.54e-03	3.08e-02	1.04e-03	1.79e-04	6.05e-03	4.34e-02	9.05e-01	2.06e-04	3.34e-03	1.54e-04
141	chr1	262324114	262324115	.	False	4.99e-02	5.66e-02	3.69e-02	1.19e-03	7.70e-02	2.53e-01	5.78e-01	8.20e-04	1.15e-03	8.44e-04
142	chr1	223169120	223169121	.	False	6.19e-04	2.20e-02	3.17e-04	1.43e-04	8.57e-03	7.89e-02	8.85e-01	8.20e-05	2.69e-03	6.20e-05
143	chr1	216764253	216764254	.	False	2.35e-01	6.30e-02	2.76e-02	3.54e-02	5.41e-02	5.46e-02	1.75e-01	7.22e-02	5.45e-02	8.22e-02
144	chr9	66857775	66857776	.	False	3.52e-02	2.87e-02	1.77e-02	3.89e-04	7.72e-03	1.04e-01	8.25e-01	3.08e-04	5.52e-04	7.69e-04
145	chr1	264060707	264060708	.	False	1.29e-02	1.28e-01	3.15e-03	2.29e-04	6.45e-03	5.49e-02	7.43e-01	2.47e-04	1.13e-03	4.06e-04
146	chr1	243441948	243441949	.	False	1.33e-03	4.07e-02	1.18e-03	4.15e-04	1.07e-02	5.71e-02	8.31e-01	1.70e-04	1.03e-02	2.11e-04
147	chr9	133486352	133486353	.	False	1.13e-01	9.16e-02	1.02e-01	1.07e-02	1.92e-01	1.48e-01	2.30e-01	1.94e-03	3.49e-03	1.16e-02
148	chr1	213960238	213960239	.	False	2.15e-02	2.73e-02	3.68e-03	1.01e-04	5.34e-03	6.80e-02	8.79e-01	8.99e-05	9.79e-04	8.51e-05
149	chr1	225337421	225337422	.	False	2.23e-03	6.89e-02	1.02e-03	4.02e-04	6.96e-03	4.72e-02	8.73e-01	6.55e-04	6.61e-03	6.74e-04
150	chr1	198524972	198524973	.	False	5.07e-03	1.19e-01	7.32e-04	4.82e-04	9.10e-03	4.91e-02	8.05e-01	3.82e-04	5.20e-03	6.20e-04
151	chr1	229437945	229437946	.	False	1.85e-02	8.87e-02	5.13e-03	1.08e-04	4.31e-03	6.08e-02	8.31e-01	7.30e-05	9.24e-04	2.29e-04
152	chr9	126390068	126390069	.	False	9.94e-03	4.09e-02	1.98e-03	4.54e-05	2.98e-03	5.58e-02	8.94e-01	7.21e-05	1.14e-03	6.11e-05
153	chr1	267046238	267046239	.	False	6.33e-01	1.29e-01	5.60e-02	6.23e-03	3.15e-02	3.28e-02	1.31e-01	5.18e-03	8.30e-03	1.16e-01
154	chr1	211884632	211884633	.	False	8.12e-04	1.35e-02	3.01e-04	1.38e-04	4.16e-03	4.12e-02	9.46e-01	1.38e-04	1.60e-03	1.32e-04
155	chr1	201823614	201823615	.	False	5.79e-03	8.39e-03	1.02e-03	7.99e-05	2.98e-03	5.69e-02	9.43e-01	1.25e-04	7.73e-04	3.29e-05
