index	chrom	start	end	strand	contains_unk	Adipose|ATAC|None	Adipose|E10|None	Adipose|E11|None	Adipose|E12|None	Adipose|E13|None	Adipose|E14|None	Adipose|E15|None	Adipose|E1|None	Adipose|E2|None	Adipose|E3|None	Adipose|E4|None	Adipose|E5|None	Adipose|E6|None	Adipose|E7|None
10	chr1	176919174	176919175	.	False	1.30e-03	5.83e-02	2.04e-02	9.34e-04	5.60e-02	2.27e-01	5.39e-01	1.74e-04	1.58e-03	1.14e-03	8.84e-04	6.48e-03	2.15e-03	5.86e-03
11	chr9	121599971	121599972	.	False	3.57e-01	3.14e-04	1.43e-03	3.43e-01	7.40e-03	4.98e-04	2.75e-03	3.34e-02	6.06e-03	3.72e-01	4.54e-02	6.30e-03	2.59e-04	3.22e-04
12	chr1	213134690	213134691	.	False	7.53e-04	4.89e-02	3.17e-03	1.25e-04	3.90e-03	1.64e-01	7.79e-01	2.94e-04	1.34e-03	6.41e-04	3.80e-04	5.41e-03	4.89e-04	1.42e-03
13	chr1	212222592	212222593	.	False	1.07e-03	4.52e-02	9.66e-03	3.10e-04	1.39e-02	2.29e-01	6.62e-01	1.10e-04	8.49e-04	6.12e-04	3.77e-04	6.31e-03	1.45e-03	2.48e-03
14	chr9	68359783	68359784	.	False	5.12e-04	3.90e-02	4.84e-03	1.15e-04	5.33e-03	1.57e-01	8.06e-01	1.07e-04	5.27e-04	1.27e-04	9.47e-05	4.00e-03	6.81e-04	1.10e-03
15	chr9	10941172	10941173	.	False	1.48e-03	4.42e-02	3.80e-03	2.95e-04	6.53e-03	1.90e-01	7.30e-01	2.98e-04	2.07e-03	5.83e-04	5.95e-04	8.39e-03	5.98e-04	1.46e-03
16	chr9	9764005	9764006	.	False	9.71e-04	2.04e-02	1.59e-03	3.62e-04	5.50e-03	1.55e-01	7.92e-01	4.42e-04	1.42e-03	4.13e-04	5.59e-04	3.18e-03	2.41e-04	3.79e-04
17	chr9	2693561	2693562	.	False	6.35e-02	8.35e-02	5.38e-02	2.95e-03	3.88e-02	1.78e-01	3.57e-01	1.61e-03	5.37e-03	1.28e-02	5.01e-03	8.84e-03	2.77e-02	4.36e-02
18	chr9	78928769	78928770	.	False	1.06e-02	5.10e-02	2.02e-02	4.98e-04	1.35e-02	2.30e-01	5.71e-01	6.81e-04	1.74e-03	1.99e-03	1.27e-03	7.32e-03	3.47e-03	8.69e-03
19	chr9	77526749	77526750	.	False	2.03e-02	1.43e-01	3.97e-02	2.36e-03	3.20e-02	1.14e-01	4.30e-01	4.83e-04	7.17e-03	1.28e-02	3.14e-03	1.69e-02	2.67e-02	5.20e-02
20	chr9	105557590	105557591	.	False	1.39e-01	2.09e-02	9.01e-03	3.73e-02	4.08e-02	2.72e-02	3.64e-02	8.67e-02	1.37e-01	4.03e-01	9.96e-02	9.76e-02	8.09e-03	7.12e-03
21	chr9	76035088	76035089	.	False	4.31e-03	1.17e-01	1.01e-02	8.12e-04	1.18e-02	1.40e-01	6.41e-01	4.69e-04	9.45e-03	4.50e-03	1.46e-03	8.85e-03	5.03e-03	1.16e-02
22	chr1	205322692	205322693	.	False	9.14e-03	8.44e-02	5.10e-02	6.18e-03	5.80e-02	2.00e-01	4.13e-01	1.17e-03	1.31e-02	2.56e-02	1.11e-02	4.45e-02	7.50e-03	2.11e-02
23	chr9	100247135	100247136	.	False	3.25e-04	2.25e-02	2.25e-03	8.95e-05	4.49e-03	1.65e-01	7.65e-01	1.10e-04	4.05e-04	9.81e-05	1.01e-04	2.29e-03	3.64e-04	5.65e-04
24	chr1	209823511	209823512	.	False	4.05e-01	9.38e-02	1.66e-01	1.95e-02	2.48e-02	9.48e-02	3.01e-01	1.95e-03	8.93e-03	8.70e-02	2.52e-02	1.82e-02	1.36e-01	1.85e-01
25	chr9	99381087	99381088	.	False	2.29e-03	7.30e-02	1.79e-02	6.60e-04	2.38e-02	2.11e-01	5.67e-01	1.81e-04	1.71e-03	1.07e-03	9.59e-04	4.05e-03	3.21e-03	8.27e-03
26	chr9	1745481	1745482	.	False	2.47e-03	3.25e-02	1.06e-02	2.17e-04	6.58e-03	1.48e-01	7.48e-01	1.93e-04	9.97e-04	5.01e-04	3.68e-04	3.87e-03	9.23e-04	2.41e-03
27	chr9	104022488	104022489	.	False	3.60e-03	3.13e-02	3.99e-03	2.95e-04	2.62e-03	1.19e-01	7.82e-01	4.19e-04	1.21e-03	5.36e-04	3.73e-04	3.55e-03	1.04e-03	1.40e-03
28	chr9	8108210	8108211	.	False	1.73e-02	9.64e-02	2.73e-02	1.14e-03	1.70e-02	1.34e-01	5.38e-01	9.92e-04	6.84e-03	6.53e-03	3.94e-03	1.03e-02	6.42e-03	2.01e-02
29	chr1	178853929	178853930	.	False	3.25e-04	9.40e-03	9.37e-04	1.87e-04	2.85e-03	2.10e-01	7.74e-01	3.06e-04	6.30e-04	8.74e-05	2.56e-04	2.64e-03	1.67e-04	2.11e-04
30	chr1	203687434	203687435	.	False	2.69e-03	7.32e-02	1.19e-02	4.28e-04	8.77e-03	1.27e-01	6.97e-01	1.91e-04	2.02e-03	1.38e-03	1.03e-03	8.74e-03	2.74e-03	8.00e-03
31	chr9	7170049	7170050	.	False	5.70e-03	8.77e-02	2.01e-02	6.78e-04	1.67e-02	2.21e-01	6.34e-01	2.41e-04	1.52e-03	8.68e-04	8.94e-04	5.33e-03	4.29e-03	9.68e-03
32	chr1	171865793	171865794	.	False	1.91e-03	7.27e-02	6.78e-03	3.07e-04	6.63e-03	1.36e-01	6.82e-01	2.97e-04	2.45e-03	1.08e-03	6.27e-04	8.40e-03	1.75e-03	3.48e-03
33	chr1	171737473	171737474	.	False	1.69e-03	4.53e-02	3.06e-03	1.88e-04	2.52e-03	1.06e-01	7.95e-01	3.65e-04	2.17e-03	3.98e-04	2.66e-04	2.17e-03	1.10e-03	1.23e-03
34	chr9	4330013	4330014	.	False	1.04e-03	7.37e-02	1.09e-02	6.43e-04	3.44e-02	2.23e-01	5.62e-01	1.92e-04	1.90e-03	8.90e-04	4.82e-04	4.10e-03	2.55e-03	4.76e-03
35	chr9	128892087	128892088	.	False	5.33e-02	6.67e-02	1.42e-01	3.63e-02	1.21e-01	2.66e-02	1.38e-01	6.88e-04	8.79e-03	9.38e-02	3.68e-02	1.32e-02	7.16e-02	1.35e-01
36	chr1	180465412	180465413	.	False	4.01e-04	3.70e-03	7.56e-04	8.13e-05	2.72e-03	2.60e-01	7.43e-01	2.65e-04	2.30e-04	1.57e-04	4.10e-04	3.32e-03	6.77e-05	2.02e-04
37	chr1	174387504	174387505	.	False	3.66e-04	1.78e-02	1.57e-03	8.45e-05	1.58e-03	1.03e-01	8.62e-01	1.22e-04	3.79e-04	9.26e-05	9.55e-05	1.84e-03	2.83e-04	4.46e-04
38	chr9	63413214	63413215	.	False	2.74e-02	4.64e-02	4.79e-02	2.11e-03	4.35e-02	2.13e-01	5.07e-01	3.52e-04	1.24e-03	2.07e-03	4.68e-03	5.68e-03	4.63e-03	2.49e-02
39	chr1	183443125	183443126	.	False	3.66e-02	8.19e-02	3.65e-02	1.04e-03	7.47e-03	9.75e-02	5.53e-01	1.25e-03	6.14e-03	7.03e-03	3.61e-03	8.33e-03	1.16e-02	2.71e-02
40	chr9	110496086	110496087	.	False	1.63e-03	8.78e-02	1.12e-02	1.09e-03	2.91e-02	1.48e-01	6.74e-01	4.16e-04	5.07e-03	2.31e-03	1.80e-03	1.16e-02	1.48e-03	4.91e-03
41	chr9	10080793	10080794	.	False	6.33e-04	1.86e-02	1.75e-03	1.24e-04	1.38e-03	6.93e-02	9.04e-01	2.40e-04	9.79e-04	1.93e-04	2.72e-04	2.93e-03	2.41e-04	3.76e-04
42	chr9	71401520	71401521	.	False	4.52e-03	6.20e-02	1.84e-02	2.73e-04	6.18e-03	1.00e-01	7.79e-01	1.89e-04	1.24e-03	8.69e-04	7.74e-04	7.09e-03	2.33e-03	7.76e-03
43	chr9	71315391	71315392	.	False	4.27e-03	6.57e-02	1.05e-02	5.58e-04	6.69e-03	1.11e-01	7.31e-01	4.48e-04	2.24e-03	9.85e-04	8.78e-04	3.78e-03	2.18e-03	5.08e-03
44	chr1	186900401	186900402	.	False	1.44e-03	1.10e-01	5.97e-03	1.02e-04	2.40e-03	6.93e-02	7.16e-01	2.71e-04	4.76e-03	9.44e-04	3.66e-04	5.14e-03	2.62e-03	4.80e-03
45	chr1	203506749	203506750	.	False	2.96e-02	9.57e-02	4.07e-02	1.92e-02	1.48e-01	1.76e-01	2.48e-01	9.82e-04	4.24e-03	1.75e-02	5.51e-03	1.06e-02	2.38e-02	3.25e-02
46	chr9	22380841	22380842	.	False	1.03e-02	7.46e-02	2.95e-02	8.96e-04	2.63e-02	2.33e-01	6.03e-01	3.02e-04	1.71e-03	2.10e-03	1.03e-03	9.78e-03	1.06e-02	2.12e-02
47	chr9	14632251	14632252	.	False	3.28e-04	8.35e-03	1.30e-03	1.36e-04	2.18e-03	2.03e-01	7.73e-01	2.43e-04	3.30e-04	7.30e-05	2.19e-04	4.20e-03	1.02e-04	1.75e-04
48	chr9	25772810	25772811	.	False	4.72e-04	3.41e-02	2.00e-03	2.65e-04	8.27e-03	1.92e-01	7.21e-01	3.99e-04	1.53e-03	2.31e-04	3.92e-04	4.41e-03	4.15e-04	6.46e-04
49	chr1	204602262	204602263	.	False	8.27e-02	9.47e-02	5.82e-02	1.74e-02	1.38e-01	1.76e-01	1.50e-01	8.74e-04	3.23e-03	2.08e-02	7.43e-03	4.41e-03	7.29e-02	7.15e-02
50	chr1	203837353	203837354	.	False	3.05e-03	1.23e-01	1.64e-02	2.33e-04	8.09e-03	9.53e-02	7.22e-01	1.25e-04	1.76e-03	1.05e-03	5.77e-04	4.39e-03	4.73e-03	9.15e-03
51	chr9	76036439	76036440	.	False	6.90e-03	4.74e-02	1.09e-02	9.12e-04	1.14e-02	1.20e-01	7.48e-01	8.17e-04	5.08e-03	3.11e-03	1.80e-03	6.62e-03	1.89e-03	3.86e-03
52	chr9	22867454	22867455	.	False	8.11e-04	1.14e-02	2.77e-03	1.43e-04	3.25e-03	1.51e-01	8.22e-01	1.70e-04	3.14e-04	9.43e-05	2.34e-04	3.67e-03	1.50e-04	5.51e-04
53	chr9	69672958	69672959	.	False	8.54e-01	2.08e-04	2.76e-03	2.64e-01	3.33e-03	4.84e-04	3.61e-03	1.60e-01	5.02e-03	3.57e-01	9.92e-02	8.26e-03	5.10e-04	6.90e-04
54	chr1	214614618	214614619	.	False	3.68e-04	2.49e-02	1.98e-03	1.15e-04	2.48e-03	1.53e-01	8.19e-01	2.26e-04	6.47e-04	1.66e-04	1.61e-04	4.44e-03	2.87e-04	4.83e-04
55	chr9	18296419	18296420	.	False	1.47e-03	8.28e-02	3.36e-03	1.63e-04	2.01e-03	1.15e-01	7.68e-01	3.45e-04	2.28e-03	2.13e-04	3.43e-04	2.99e-03	1.62e-03	1.88e-03
56	chr9	132204008	132204009	.	False	8.36e-02	6.18e-02	1.09e-01	6.00e-02	1.52e-01	3.90e-02	1.12e-01	1.03e-03	6.99e-03	7.22e-02	2.38e-02	8.14e-03	6.26e-02	1.08e-01
57	chr9	106136394	106136395	.	False	1.97e-03	1.78e-02	1.21e-02	6.07e-04	2.35e-02	1.99e-01	6.47e-01	2.32e-04	3.93e-04	3.78e-04	3.92e-04	5.02e-03	9.43e-04	1.90e-03
58	chr9	99866983	99866984	.	False	1.45e-02	1.29e-01	3.07e-02	6.50e-04	7.33e-03	1.19e-01	5.27e-01	4.96e-04	5.80e-03	3.37e-03	1.41e-03	7.45e-03	1.53e-02	1.75e-02
59	chr1	145103503	145103504	.	False	2.80e-03	3.98e-02	9.32e-03	3.60e-04	7.63e-03	1.48e-01	7.65e-01	1.75e-04	9.66e-04	6.58e-04	6.85e-04	4.08e-03	1.23e-03	3.54e-03
60	chr1	212731153	212731154	.	False	9.25e-04	8.35e-02	7.76e-03	1.18e-03	2.89e-02	2.07e-01	6.16e-01	3.02e-04	3.55e-03	1.52e-03	8.86e-04	7.77e-03	2.04e-03	4.15e-03
61	chr9	123079846	123079847	.	False	8.35e-03	6.26e-02	2.76e-02	7.44e-04	2.32e-02	1.62e-01	5.59e-01	2.95e-04	2.05e-03	3.10e-03	2.05e-03	1.04e-02	3.53e-03	1.05e-02
62	chr1	177487202	177487203	.	False	4.95e-03	6.81e-02	2.54e-02	1.20e-03	5.09e-02	2.79e-01	5.18e-01	2.29e-04	1.04e-03	9.48e-04	9.37e-04	6.17e-03	4.67e-03	9.66e-03
63	chr9	26631686	26631687	.	False	4.74e-03	4.90e-02	2.13e-02	6.66e-04	2.30e-02	2.20e-01	6.51e-01	4.09e-04	1.30e-03	2.10e-03	1.22e-03	8.38e-03	2.50e-03	7.19e-03
64	chr9	9500713	9500714	.	False	8.46e-04	2.34e-02	4.46e-03	2.38e-04	5.37e-03	1.59e-01	7.82e-01	2.93e-04	5.84e-04	1.51e-04	2.39e-04	5.06e-03	3.99e-04	7.65e-04
65	chr9	114060330	114060331	.	False	2.63e-02	7.05e-02	6.98e-02	2.39e-02	2.53e-01	1.77e-01	2.68e-01	5.90e-04	2.63e-03	1.00e-02	6.94e-03	4.92e-03	1.85e-02	3.30e-02
66	chr9	99907094	99907095	.	False	9.34e-01	7.28e-05	2.00e-04	7.59e-03	1.39e-04	3.39e-04	3.12e-03	5.48e-01	1.11e-02	5.34e-01	4.77e-02	1.23e-02	9.38e-05	1.49e-04
67	chr1	183310253	183310254	.	False	5.12e-02	8.75e-02	4.13e-02	3.18e-03	3.22e-02	1.80e-01	3.69e-01	1.07e-03	4.37e-03	1.23e-02	4.81e-03	1.21e-02	2.35e-02	3.41e-02
68	chr9	118793259	118793260	.	False	7.79e-04	1.88e-02	1.48e-03	1.75e-04	4.07e-03	1.20e-01	7.96e-01	4.29e-04	1.72e-03	5.88e-04	4.39e-04	4.29e-03	2.43e-04	4.39e-04
69	chr9	128823665	128823666	.	False	5.25e-02	2.06e-02	2.89e-01	3.25e-02	1.04e-01	1.85e-02	1.61e-01	5.89e-04	2.71e-03	5.88e-02	3.39e-02	7.84e-03	2.59e-02	1.10e-01
70	chr9	74654830	74654831	.	False	3.49e-04	1.17e-02	9.71e-04	1.98e-04	5.13e-03	1.53e-01	8.15e-01	1.60e-04	4.58e-04	1.42e-04	2.11e-04	1.15e-03	2.22e-04	2.28e-04
71	chr1	203354789	203354790	.	False	3.77e-02	1.24e-01	7.02e-02	4.17e-03	4.88e-02	1.07e-01	2.51e-01	6.12e-04	5.55e-03	1.64e-02	2.87e-03	7.78e-03	6.96e-02	7.23e-02
72	chr1	175857605	175857606	.	False	1.96e-02	1.05e-01	4.96e-02	9.99e-03	1.09e-01	1.50e-01	2.22e-01	9.04e-04	8.86e-03	2.95e-02	7.16e-03	1.25e-02	3.51e-02	3.79e-02
73	chr9	20309191	20309192	.	False	4.27e-02	8.54e-02	7.84e-02	6.24e-03	1.16e-01	2.13e-01	2.89e-01	3.37e-04	1.56e-03	4.21e-03	2.32e-03	4.70e-03	2.87e-02	4.18e-02
74	chr1	212209009	212209010	.	False	7.56e-03	1.00e-01	4.44e-02	4.87e-03	1.39e-01	2.32e-01	3.34e-01	2.20e-04	2.95e-03	5.36e-03	2.11e-03	4.60e-03	1.83e-02	2.91e-02
75	chr1	16638737	16638738	.	False	7.08e-02	8.76e-02	2.03e-01	1.45e-02	8.99e-02	3.63e-02	2.04e-01	6.03e-04	8.16e-03	6.41e-02	1.52e-02	1.29e-02	6.72e-02	1.16e-01
76	chr9	113111982	113111983	.	False	1.51e-01	1.60e-02	8.50e-03	2.73e-02	2.31e-02	1.09e-02	2.87e-02	3.24e-03	3.45e-02	6.20e-01	7.62e-02	3.89e-02	1.82e-02	1.84e-02
77	chr9	17766179	17766180	.	False	1.45e-02	4.47e-02	4.61e-02	1.47e-03	3.64e-02	1.85e-01	6.02e-01	1.74e-04	8.03e-04	1.23e-03	1.19e-03	4.78e-03	3.82e-03	1.30e-02
78	chr1	211357954	211357955	.	False	5.70e-03	5.95e-02	1.86e-02	3.44e-04	8.04e-03	1.50e-01	6.87e-01	1.50e-04	8.68e-04	8.51e-04	5.96e-04	7.57e-03	4.12e-03	9.07e-03
79	chr9	77785272	77785273	.	False	9.06e-03	2.33e-02	2.60e-02	8.28e-04	2.18e-02	1.83e-01	6.35e-01	2.79e-04	4.63e-04	7.72e-04	8.72e-04	5.84e-03	1.98e-03	5.94e-03
80	chr9	40957371	40957372	.	False	4.10e-03	6.55e-02	8.91e-03	2.87e-03	2.89e-02	2.11e-01	5.43e-01	1.22e-03	7.80e-03	6.69e-03	2.49e-03	1.04e-02	3.38e-03	5.16e-03
81	chr9	121249153	121249154	.	False	2.75e-03	8.68e-02	2.56e-02	1.06e-03	8.79e-02	2.95e-01	4.83e-01	1.48e-04	1.40e-03	1.35e-03	1.34e-03	5.60e-03	4.45e-03	6.88e-03
82	chr9	110832994	110832995	.	False	8.98e-04	4.45e-02	2.65e-03	3.99e-04	4.87e-03	1.72e-01	7.40e-01	4.74e-04	2.36e-03	4.63e-04	5.29e-04	5.83e-03	6.10e-04	1.09e-03
83	chr9	130346911	130346912	.	False	1.63e-02	2.90e-02	2.34e-01	3.08e-02	2.33e-01	4.87e-02	2.34e-01	2.06e-04	1.42e-03	1.02e-02	1.24e-02	4.94e-03	1.35e-02	6.05e-02
84	chr1	209884352	209884353	.	False	4.60e-02	9.10e-02	3.89e-02	1.01e-03	1.04e-02	1.09e-01	5.11e-01	1.33e-03	4.36e-03	6.85e-03	3.69e-03	1.32e-02	1.81e-02	3.19e-02
85	chr9	125913405	125913406	.	False	6.07e-04	4.63e-02	1.78e-03	2.13e-04	2.65e-03	8.67e-02	8.41e-01	5.71e-04	3.19e-03	2.98e-04	4.49e-04	5.87e-03	1.81e-04	6.27e-04
86	chr1	210732041	210732042	.	False	3.62e-02	9.55e-02	6.69e-02	6.01e-03	9.00e-02	1.52e-01	3.37e-01	4.20e-04	3.22e-03	7.85e-03	3.16e-03	1.05e-02	1.56e-02	4.32e-02
87	chr1	208344156	208344157	.	False	1.46e-02	1.01e-01	2.67e-02	3.18e-03	3.77e-02	1.75e-01	3.57e-01	1.22e-03	7.92e-03	1.47e-02	4.14e-03	1.15e-02	1.26e-02	1.65e-02
88	chr1	145108636	145108637	.	False	3.33e-03	6.51e-02	8.33e-03	5.66e-04	1.30e-02	1.75e-01	6.19e-01	4.95e-04	5.22e-03	2.39e-03	8.67e-04	8.42e-03	2.85e-03	3.41e-03
89	chr9	74833138	74833139	.	False	2.71e-03	9.77e-02	8.38e-03	2.33e-04	4.39e-03	7.85e-02	7.67e-01	2.73e-04	3.27e-03	8.02e-04	4.83e-04	7.05e-03	1.94e-03	3.90e-03
90	chr9	134377917	134377918	.	False	1.11e-01	2.52e-02	1.63e-01	6.24e-02	1.33e-01	2.15e-02	1.23e-01	7.28e-04	2.92e-03	9.22e-02	3.01e-02	6.41e-03	5.85e-02	1.60e-01
91	chr9	126585896	126585897	.	False	7.48e-03	6.81e-02	1.06e-01	1.08e-02	2.82e-01	1.55e-01	2.90e-01	3.39e-04	3.05e-03	7.86e-03	5.92e-03	6.53e-03	1.41e-02	3.71e-02
92	chr9	26842958	26842959	.	False	1.10e-03	8.13e-02	5.07e-03	2.04e-04	5.13e-03	8.06e-02	7.70e-01	2.42e-04	2.89e-03	5.77e-04	4.64e-04	5.25e-03	8.31e-04	3.07e-03
93	chr9	3050592	3050593	.	False	1.69e-03	5.09e-02	5.51e-03	2.64e-04	6.87e-03	1.81e-01	7.16e-01	2.03e-04	1.39e-03	6.84e-04	4.30e-04	2.86e-03	1.96e-03	2.22e-03
94	chr9	78100733	78100734	.	False	4.12e-04	1.99e-02	2.30e-03	2.01e-04	7.57e-03	1.69e-01	7.74e-01	1.25e-04	6.62e-04	1.38e-04	2.25e-04	3.27e-03	2.95e-04	4.94e-04
95	chr9	70910797	70910798	.	False	1.04e-02	4.20e-02	2.08e-02	4.07e-04	3.56e-03	1.04e-01	7.47e-01	1.68e-04	7.56e-04	5.45e-04	6.91e-04	3.11e-03	3.02e-03	1.12e-02
96	chr9	108340354	108340355	.	False	1.16e-03	3.21e-02	2.26e-03	2.46e-04	1.84e-03	1.41e-01	7.84e-01	4.59e-04	1.37e-03	2.73e-04	4.86e-04	3.93e-03	3.92e-04	8.16e-04
97	chr9	74284630	74284631	.	False	7.00e-02	7.71e-02	3.77e-02	1.06e-02	6.06e-02	1.52e-01	3.56e-01	5.10e-03	1.80e-02	4.23e-02	1.99e-02	1.81e-02	1.56e-02	2.91e-02
98	chr1	215095326	215095327	.	False	3.49e-03	6.36e-02	8.01e-03	1.07e-03	9.75e-03	1.06e-01	7.13e-01	6.27e-04	5.77e-03	3.88e-03	1.56e-03	7.81e-03	2.32e-03	3.95e-03
99	chr9	117656234	117656235	.	False	2.37e-02	1.46e-01	2.21e-02	1.21e-03	8.59e-03	1.03e-01	6.56e-01	6.46e-04	4.45e-03	3.60e-03	2.23e-03	1.06e-02	7.41e-03	2.66e-02
100	chr9	37630803	37630804	.	False	4.06e-03	5.21e-02	2.28e-02	7.81e-04	3.43e-02	2.26e-01	6.27e-01	2.63e-04	1.22e-03	1.73e-03	1.10e-03	8.94e-03	3.29e-03	9.48e-03
101	chr9	103939566	103939567	.	False	9.60e-03	3.99e-02	1.29e-02	4.32e-04	4.12e-03	1.26e-01	7.19e-01	5.33e-04	1.85e-03	1.69e-03	8.97e-04	5.57e-03	2.00e-03	6.55e-03
102	chr1	207537108	207537109	.	False	3.01e-03	3.75e-02	2.80e-02	6.28e-04	6.03e-02	2.57e-01	6.38e-01	1.09e-04	4.11e-04	4.40e-04	4.26e-04	4.55e-03	1.91e-03	6.87e-03
103	chr1	177417042	177417043	.	False	3.49e-03	8.95e-02	1.45e-02	1.73e-03	3.18e-02	2.06e-01	6.03e-01	3.20e-04	2.11e-03	2.43e-03	1.15e-03	5.25e-03	8.15e-03	9.91e-03
104	chr9	117867895	117867896	.	False	2.16e-03	3.80e-02	7.62e-03	3.66e-04	1.41e-02	1.58e-01	6.88e-01	3.39e-04	2.26e-03	1.77e-03	1.12e-03	7.23e-03	1.15e-03	3.49e-03
105	chr9	124758264	124758265	.	False	3.89e-01	1.40e-01	3.92e-02	1.83e-02	3.01e-02	5.83e-02	1.05e-01	2.06e-02	6.40e-02	3.22e-01	4.73e-02	3.86e-02	1.51e-01	9.68e-02
106	chr9	11101778	11101779	.	False	1.44e-03	4.56e-02	1.04e-02	2.28e-03	5.72e-02	2.39e-01	5.53e-01	3.11e-04	1.45e-03	3.61e-03	2.43e-03	9.46e-03	9.80e-04	3.22e-03
107	chr1	203396741	203396742	.	False	2.47e-02	9.47e-02	4.19e-02	1.50e-02	6.29e-02	1.17e-01	3.17e-01	2.41e-03	2.01e-02	7.62e-02	2.65e-02	4.30e-02	1.50e-02	3.43e-02
108	chr9	116107433	116107434	.	False	6.81e-04	1.99e-02	4.56e-03	1.98e-04	4.65e-03	1.15e-01	8.21e-01	1.87e-04	6.49e-04	2.87e-04	3.58e-04	5.12e-03	4.18e-04	1.07e-03
109	chr9	103457031	103457032	.	False	5.71e-04	3.08e-02	2.02e-03	1.76e-04	7.60e-03	1.33e-01	8.05e-01	2.73e-04	1.92e-03	3.33e-04	3.82e-04	3.94e-03	2.69e-04	5.73e-04
110	chr9	23289150	23289151	.	False	9.14e-04	3.68e-02	4.87e-03	3.62e-04	7.05e-03	1.70e-01	7.77e-01	1.88e-04	9.82e-04	3.96e-04	3.74e-04	2.75e-03	5.63e-04	1.40e-03
111	chr1	213409123	213409124	.	False	3.43e-02	7.34e-02	4.93e-02	4.14e-03	5.56e-02	1.32e-01	4.74e-01	1.37e-03	4.76e-03	1.66e-02	6.09e-03	1.20e-02	7.39e-03	2.61e-02
112	chr9	16563244	16563245	.	False	7.56e-04	2.23e-02	2.13e-03	1.61e-04	2.03e-03	8.76e-02	8.81e-01	1.57e-04	9.31e-04	2.17e-04	2.56e-04	2.39e-03	3.42e-04	6.48e-04
113	chr9	113612556	113612557	.	False	5.51e-02	6.92e-02	8.81e-02	3.19e-02	2.01e-01	6.08e-02	1.13e-01	5.34e-04	6.04e-03	5.80e-02	1.35e-02	6.38e-03	8.49e-02	1.29e-01
114	chr1	15613570	15613571	.	False	6.03e-04	2.62e-02	3.85e-03	1.86e-04	7.79e-03	2.24e-01	6.78e-01	1.19e-04	4.94e-04	1.72e-04	2.47e-04	3.16e-03	3.30e-04	7.77e-04
115	chr9	134256517	134256518	.	False	1.83e-02	4.42e-02	9.30e-02	9.78e-02	3.35e-01	9.27e-02	1.60e-01	6.94e-04	5.11e-03	3.64e-02	2.59e-02	9.33e-03	1.48e-02	3.31e-02
116	chr1	178718034	178718035	.	False	6.82e-04	1.15e-02	1.28e-03	3.06e-04	4.08e-03	2.01e-01	7.53e-01	4.54e-04	6.59e-04	2.05e-04	3.41e-04	2.69e-03	2.70e-04	2.34e-04
